Time;GPS4;GPS5;GPS9;GPS11;GPS12;GPS18;GPS20;GPS25;GPS26;GPS28;GPS29;GPS31;GLONASS2;GLONASS3;GLONASS4;GLONASS9;GLONASS10;GLONASS11;GLONASS21;GLONASS25;
24.04.2024 09:27:16.600;171.457179762598;-272.052456473844;-27.2754134048737;-198.303875295649;-237.341109671979;87.3927659333131;-238.250787792116;-127.854334559204;254.283149258103;228.112329356154;32.8089313939417;260.221321267702;126.407460198185;-135.729120821852;-308.190151389295;-82.4636207527074;50.9554678660934;197.321133917387;218.501131207799;0;
24.04.2024 09:27:16.700;171.79224308164;-272.122596585061;-26.2649021591642;-198.683698580469;-237.752840579386;87.7625055714016;-238.55993202531;-127.297992472566;253.298899718429;228.634412196785;32.7221884317842;260.05818519411;126.449856956824;-135.983403637787;-308.189160885813;-82.5108917313628;51.6471463142807;197.838761658742;217.161219532893;0;
24.04.2024 09:27:16.800;171.421041984955;-271.900575215957;-25.1033043934294;-198.14134307421;-237.51499329487;88.3710293760814;-238.619156171102;-127.663459952906;253.146760387346;228.537329523795;32.9426882947737;260.741534066561;125.039330627638;-136.362852953578;-307.263154169719;-83.0871338841389;50.9365525481116;197.698071715364;216.821634585212;0;
24.04.2024 09:27:16.900;172.680380564489;-272.365293983807;-25.3930902932625;-198.495132571625;-237.558504344968;87.6158691435703;-238.621906292014;-127.867064245758;253.750203345204;227.912438944564;32.7493501916906;260.962693568174;125.702865689949;-136.452336745831;-308.222760418823;-82.1343451191206;50.4829597524513;198.273528904596;216.980143910041;0;
24.04.2024 09:27:17.000;172.176765033189;-272.524281734339;-26.3336550054228;-198.036088066365;-237.781285599194;87.5537564364349;-238.834838500479;-128.091520402508;255.40618234413;227.953074944904;32.8768247227417;260.559934817124;124.495346159689;-136.764340422364;-306.292136575925;-82.4494380100805;50.0047217235115;196.960101534452;219.120876600413;0;
24.04.2024 09:27:17.100;171.932058082588;-272.439234491947;-25.9481068686291;-198.750577392973;-237.378631223299;87.5743763250211;-239.052833672613;-127.945837374078;255.678649534166;228.507603306847;32.5079390124884;260.98851198655;123.954280277074;-134.959223866637;-307.672714352782;-81.7047568484122;51.0080581186339;196.286295505997;217.41414394186;0;
24.04.2024 09:27:17.200;171.292556045853;-272.533014338915;-26.9467239874211;-197.979591958632;-237.504900855551;87.1199608672177;-238.883319270914;-127.873864664012;256.135361330162;228.763429561208;32.341053731725;260.602408233259;122.706460708054;-135.327170287113;-307.343136603915;-82.0799544214242;49.8773130094341;198.860145013168;218.772987887685;0;
24.04.2024 09:27:17.300;171.697103718107;-271.828458799806;-26.7964209460042;-197.492071155299;-237.245885678916;87.1946532812726;-238.551299433107;-127.291166169787;255.520030279091;228.678422521261;32.5378970229649;260.843465951868;123.845590136596;-136.324409043853;-307.638940618766;-83.0235716488387;50.5066338541219;196.680045047033;218.688381682165;0;
24.04.2024 09:27:17.400;170.378143641574;-271.932926409121;-27.3473887383589;-197.330455859992;-237.453467868618;87.0005332575674;-239.154486475469;-127.607239112112;255.499025516765;229.199457274313;32.4654347233736;260.428101392696;126.336912642932;-137.055033689147;-307.265500098685;-82.9561674606812;49.8946244467952;196.796627122603;220.103805693318;0;
24.04.2024 09:27:17.500;171.321970745921;-272.319729573966;-27.5153259629587;-197.639594716777;-237.32514988062;87.3131155633164;-239.578599476852;-127.653838614366;255.900519556177;228.985511895778;32.5034563089284;260.455606078423;124.450437916632;-137.268165422647;-307.428923944637;-81.9146652872005;49.6262408678449;196.525807622311;221.561326324547;0;
24.04.2024 09:27:17.600;170.859438243249;-272.215089442674;-27.5847199607815;-198.590054761764;-237.673056232175;86.3609463444154;-239.157783894261;-127.808388823949;256.496986119586;228.093862194597;32.4514162447304;260.233774452878;126.916450722769;-136.342918816707;-306.809812733147;-82.9686328538955;50.4752635409677;196.170692026717;221.091627629386;0;
24.04.2024 09:27:17.700;171.16830286663;-272.06743173032;-27.8570987882122;-198.570685247061;-237.533588822087;86.879389098016;-238.96103661276;-127.877760187635;256.621151531697;228.240585471256;32.5324230708211;260.34246831233;125.95958492512;-136.781297341076;-307.523434095987;-83.0499235345051;51.9722799519368;195.849461343489;220.656609788712;0;
24.04.2024 09:27:17.800;170.883245809455;-272.174813286896;-28.1628433523001;-198.230301120726;-237.72044905067;86.6157445032295;-239.073561922327;-128.124034609515;256.481607348906;228.629968563939;32.6073098120687;260.429667998687;127.391563087585;-135.118964635636;-307.715339891409;-82.2317493470182;50.8692727694142;196.16643239421;218.477244929178;0;
24.04.2024 09:27:17.900;170.478729503055;-272.446506540553;-27.0561645985872;-198.509462551825;-238.109931660772;86.9138697892486;-239.353667377858;-127.991804993449;256.759671124601;228.279480856872;32.299128108556;260.391236196025;128.545018325894;-135.42031416815;-308.793761466717;-82.8397158473963;50.4527602509479;196.013165171287;220.388269878851;0;
24.04.2024 09:27:18.000;170.648693994051;-272.368447366171;-25.7647916916758;-198.339487622885;-237.708302770028;87.0886617625656;-238.996489936821;-128.54391785909;256.656318369394;228.284785163094;32.2268695805105;260.330521475596;127.523680263723;-135.315567414131;-307.945231968159;-83.5383246771526;50.289461894441;195.780808937983;219.690759864854;0;
24.04.2024 09:27:18.100;170.90968452752;-272.597970145769;-25.2158721302694;-198.305760649077;-237.631580631249;86.9054926153622;-239.121044400963;-128.540018093219;256.98019713095;227.796679443563;32.098946489321;259.874992305675;125.669833086606;-135.480046312354;-307.814705170284;-82.1638561732107;50.2856534841558;196.616776677649;219.73259794552;0;
24.04.2024 09:27:18.200;171.718489814521;-272.42046438485;-24.9825961304887;-198.149356773807;-237.473941831311;87.1149477768195;-239.27953568114;-128.206845352208;257.432621344313;227.850552447213;32.2612246320496;260.338844203565;124.690401623986;-136.76405622279;-307.924406084363;-81.8120720819134;50.2955402967345;196.804366521217;218.506285882497;0;
24.04.2024 09:27:18.300;171.299075792791;-272.583675300717;-25.8996486766264;-197.931495191515;-237.2426427342;87.3020511143695;-239.311337885127;-127.962372719936;256.681251639326;228.232290225627;32.1938010068698;259.973024766208;125.078783300356;-135.364495324146;-309.864494764974;-81.6807867127791;49.9641055255779;197.118776196745;219.997789742076;0;
24.04.2024 09:27:18.400;171.691610001522;-272.162665001772;-26.8921952591336;-198.199220303446;-236.816189200574;87.2615250833915;-238.864116004319;-127.981901086285;256.553399288532;228.46380132543;32.5937718188943;260.014257005736;126.587727080783;-136.469190202522;-309.058569789689;-82.0772104713396;49.7785907729703;195.843776774709;219.732798167723;0;
