Time,"X, m","Y, m","Z, m","RMS, m",PDOP,TOffset,NumSat
17.3,"2847815,8425","2279684,2922","5214614,9916","1,71815419197083","1,463","124915,089",14
17.4,"2847816,0947","2279683,9679","5214615,8874","1,52412569522858","1,463","124913,611",14
17.5,"2847815,4400","2279684,3168","5214615,7701","1,5813273191452","1,463","124912,018",14
17.6,"2847815,3555","2279684,7560","5214615,6332","1,49156701564789","1,463","124910,702",14
17.7,"2847816,3338","2279684,6209","5214615,8001","1,38012504577637","1,463","124909,107",14
17.8,"2847816,6988","2279685,0051","5214615,6760","1,62247729301453","1,463","124907,789",14
17.9,"2847815,9143","2279684,5993","5214615,7363","2,03501987457275","1,463","124906,052",14
18.0,"2847816,1686","2279684,8019","5214616,0427","1,84889316558838","1,463","124904,832",14
18.1,"2847816,0308","2279685,0746","5214616,5648","1,74480807781219","1,463","124903,475",14
18.2,"2847816,8840","2279684,9603","5214616,9717","1,85222733020782","1,463","124902,067",14
18.3,"2847816,0647","2279685,1043","5214616,5205","2,02823781967163","1,463","124900,569",14
18.4,"2847815,9315","2279684,8974","5214616,8487","1,86139357089996","1,463","124899,065",14
18.5,"2847815,9235","2279685,2442","5214616,9189","1,87522459030151","1,463","124897,706",14
18.6,"2847815,7665","2279685,2188","5214617,2816","1,9397759437561","1,463","124896,418",14
18.7,"2847815,8974","2279684,9702","5214617,2432","1,8631626367569","1,463","124894,973",14
18.8,"2847815,6667","2279684,8656","5214617,3760","2,07242465019226","1,463","124893,251",14
18.9,"2847816,1241","2279684,5229","5214617,2329","2,16006398200989","1,463","124891,663",15
19.0,"2847816,6379","2279684,6693","5214617,5429","1,89104199409485","1,463","124890,175",15
19.1,"2847815,8064","2279684,4326","5214617,2328","1,84796953201294","1,463","124888,358",14
19.2,"2847815,7733","2279684,8989","5214616,8853","1,76316106319427","1,463","124887,069",14
19.3,"2847815,6434","2279685,0250","5214616,5109","1,73417866230011","1,463","124885,342",14
19.4,"2847816,1388","2279684,7935","5214616,5089","1,72893309593201","1,463","124883,678",14
19.5,"2847816,4122","2279684,8894","5214616,6408","1,87128639221191","1,463","124882,158",14
19.6,"2847816,3073","2279684,7690","5214616,2899","1,73231649398804","1,463","124880,374",14
19.7,"2847816,3494","2279684,4908","5214615,5690","1,85717535018921","1,463","124878,360",14
19.8,"2847815,3514","2279684,3362","5214615,0344","1,91535365581512","1,463","124876,538",14
19.9,"2847815,9148","2279684,8767","5214615,6559","1,91289842128754","1,463","124875,219",14
20.0,"2847815,8876","2279684,7080","5214615,6587","2,24512386322021","1,463","124873,765",14
20.1,"2847814,9185","2279685,0857","5214615,7839","2,38491868972778","1,463","124872,633",14
20.2,"2847816,0811","2279684,4830","5214615,9739","2,16060900688171","1,463","124870,882",14
20.3,"2847815,3211","2279685,2840","5214616,1417","2,07357430458069","1,463","124869,815",14
20.4,"2847815,5042","2279684,7103","5214616,5303","2,22052073478699","1,463","124868,099",14
20.5,"2847815,7769","2279684,3151","5214616,4651","2,29464650154114","1,463","124866,476",14
20.6,"2847815,3195","2279684,4449","5214616,3396","2,20050072669983","1,463","124864,950",14
20.7,"2847814,7761","2279684,3412","5214615,9980","2,55601191520691","1,463","124863,533",14
20.8,"2847814,7023","2279683,8290","5214615,6155","2,4723219871521","1,463","124861,695",14
20.9,"2847814,7152","2279683,6177","5214615,8223","2,27997779846191","1,463","124860,000",14
21.0,"2847813,5832","2279683,7220","5214615,5555","2,45743727684021","1,463","124858,237",14
21.1,"2847813,3551","2279683,9121","5214614,8714","2,36243176460266","1,463","124856,392",14
21.2,"2847813,2575","2279684,2438","5214615,4133","2,49838924407959","1,463","124855,277",14
21.3,"2847814,2838","2279684,0698","5214615,1596","2,36488676071167","1,463","124853,564",14
21.4,"2847814,7596","2279683,4397","5214615,0356","2,39346671104431","1,463","124851,701",14
21.5,"2847815,1640","2279683,6864","5214615,4474","2,23874545097351","1,463","124850,533",14
21.6,"2847815,9467","2279683,6961","5214615,4533","2,37618780136108","1,463","124849,187",14
21.7,"2847815,9100","2279683,5295","5214615,3975","2,40400218963623","1,463","124847,601",14
21.8,"2847815,6100","2279683,8882","5214615,1950","2,19331502914429","1,463","124846,095",14
21.9,"2847815,2236","2279684,0115","5214615,1332","2,18830823898315","1,463","124844,596",14
22.0,"2847815,2297","2279683,9350","5214614,9030","2,38115882873535","1,463","124843,053",14
22.1,"2847815,1644","2279683,5579","5214614,1543","2,31863641738892","1,463","124840,940",14
22.2,"2847815,2200","2279683,3694","5214613,7951","2,63792634010315","1,463","124839,305",14
22.3,"2847815,3631","2279683,9256","5214614,1015","2,4391508102417","1,463","124838,173",14
22.4,"2847815,1115","2279684,0815","5214614,1888","2,09721803665161","1,463","124836,731",14
